"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","on_base_percent","p_era","p_total_stolen_base","p_total_pickoff","p_total_pickoff_attempt","p_total_pickoff_error","xba","woba","xwoba","xobp"
"Bido, Osvaldo","674370","2023","236",20.3,8.9,".270",".356","5.86","2","0","8","0",".275",".326",".333",".362"
"Curry, Xzavion","675540","2023","404",16.6,7.4,".267",".323","4.07","10","1","25","0",".274",".326",".339",".330"
"Grove, Michael","675627","2023","302",24.2,6.3,".296",".348","6.13","7","0","20","1",".273",".363",".341",".326"
"Strider, Spencer","675911","2023","763",36.8,7.6,".210",".279","3.86","19","0","24","0",".205",".279",".273",".275"
"Karinchak, James","675916","2023","171",30.4,16.4,".178",".322","3.23","16","0","26","0",".202",".300",".327",".350"
"Bolton, Cody","675989","2023","107",20.6,14,".333",".434","6.33","1","0","2","0",".301",".414",".392",".408"
"Butto, José","676130","2023","179",21.2,12.8,".212",".313","3.64","10","0","19","0",".238",".281",".306",".335"
"Walker, Ryan","676254","2023","263",29.7,9.1,".262",".333","3.23","5","2","7","0",".210",".328",".272",".290"
"Abbott, Cory","676265","2023","184",21.7,10.9,".306",".391","6.64","5","0","9","0",".258",".388",".347",".354"
"Miller, Bobby","676272","2023","505",23.6,6.3,".226",".283","3.76","14","0","18","1",".229",".283",".286",".290"
"Garcia, Robert","676395","2023","127",26,9.4,".234",".306","3.66","4","1","6","0",".244",".279",".295",".316"
"Bibee, Tanner","676440","2023","585",24.1,7.7,".230",".295","2.98","9","3","49","0",".235",".285",".297",".300"
"Whitlock, Garrett","676477","2023","304",23.7,4.3,".288",".323","5.15","7","0","8","0",".273",".350",".328",".309"
"Faucher, Calvin","676534","2023","120",20.8,10,".290",".367","7.01","4","0","2","0",".294",".359",".384",".371"
"Fleming, Josh","676596","2023","221",11.3,8.6,".281",".339","4.70","1","0","4","0",".294",".342",".352",".354"
"Sears, JP","676664","2023","735",21.9,7.2,".249",".319","4.54","15","3","68","0",".245",".335",".330",".316"
"Cosgrove, Tom","676680","2023","205",21.5,9.3,".173",".270","1.75","1","0","5","0",".186",".238",".254",".283"
"Vest, Will","676684","2023","199",28.1,6.5,".216",".268","2.98","1","0","8","0",".227",".259",".274",".278"
"Crawford, Kutter","676710","2023","527",25.6,6.8,".221",".281","4.04","8","0","3","1",".208",".290",".280",".269"
"Marinaccio, Ron","676760","2023","205",27.3,13.2,".208",".340","3.99","12","2","23","0",".203",".315",".321",".339"
"Winn, Keaton","676775","2023","172",20.3,4.7,".231",".288","4.68","3","0","4","0",".243",".304",".319",".303"
"Nardi, Andrew","677053","2023","237",30.8,8.9,".213",".297","2.67","1","0","3","0",".190",".289",".259",".276"
"Garcia, Luis","677651","2023","115",27,8.7,".243",".316","4.00","0","0","8","0",".238",".322",".309",".312"
"Bruihl, Justin","677865","2023","121",18.2,9.1,".267",".347","5.46","4","0","10","0",".268",".325",".332",".353"
"Cecconi, Slade","677944","2023","111",18,3.6,".260",".297","4.33","1","0","7","0",".260",".325",".334",".298"
"Weathers, Ryan","677960","2023","257",16.7,11.3,".305",".383","6.55","2","6","39","0",".249",".393",".332",".336"
"Kerr, Ray","678061","2023","114",30.7,7.9,".243",".310","4.33","0","0","1","0",".257",".341",".331",".322"
"Bello, Brayan","678394","2023","668",19.8,6.7,".270",".324","4.24","9","2","22","0",".253",".334",".314",".310"
"Ferrer, Jose A.","678606","2023","142",17.6,9.2,".289",".359","5.03","6","1","12","0",".254",".338",".298",".327"
"Marsh, Alec","679525","2023","342",24.9,11.4,".266",".369","5.69","11","3","24","0",".257",".381",".367",".362"
"Rodriguez, Grayson","680570","2023","515",25,8.2,".259",".321","4.35","4","1","42","0",".255",".320",".316",".318"
"Gray, Josiah","680686","2023","698",20.5,11.5,".251",".345","3.91","21","1","41","1",".254",".332",".342",".349"
"Bradish, Kyle","680694","2023","671",25,6.6,".215",".275","2.83","3","0","35","0",".239",".268",".300",".298"
"Sandlin, Nick","680704","2023","239",27.6,10,".182",".270","3.75","7","0","16","0",".215",".284",".306",".300"
"Rom, Drew","680723","2023","170",18.8,11.2,".340",".412","8.02","2","0","3","0",".281",".431",".374",".360"
"Cox, Austin","680735","2023","149",22.1,11.4,".220",".315","4.54","3","2","12","0",".260",".291",".339",".358"
"Winder, Josh","680739","2023","147",19,9.5,".267",".333","4.15","4","1","6","0",".251",".331",".335",".324"
"Vásquez, Randy","681190","2023","166",19.9,10.8,".211",".315","2.87","2","0","12","0",".267",".303",".352",".364"
"Silseth, Chase","681217","2023","221",25.3,11.8,".212",".312","3.96","3","0","18","0",".233",".313",".318",".331"
"Varland, Gus","681402","2023","103",19.4,15.5,".318",".431","6.64","2","0","3","0",".292",".408",".383",".410"
"Wantz, Andrew","681806","2023","160",20.6,9.4,".197",".275","3.89","1","0","14","0",".240",".272",".310",".315"
"Olson, Reese","681857","2023","422",24.4,7.8,".215",".277","3.99","4","1","8","0",".254",".283",".333",".315"
"Criswell, Cooper","681867","2023","151",17.9,7.3,".296",".364","5.73","2","0","8","0",".279",".368",".346",".352"
"Selby, Colin","681882","2023","114",26.3,13.2,".296",".389","9.00","1","0","5","0",".270",".362",".356",".367"
"Vesia, Alex","681911","2023","217",29.5,7.8,".263",".327","4.35","6","0","7","0",".231",".318",".296",".299"
"Anderson, Grant","681982","2023","154",19.5,9.1,".277",".344","5.05","5","0","4","0",".235",".334",".311",".310"
"Herrin, Tim","682120","2023","121",26.4,9.9,".279",".361","5.53","3","0","5","1",".243",".338",".330",".331"
"Jacques, Joe","682175","2023","122",16.4,8.2,".308",".397","5.06","1","0","2","0",".243",".366",".311",".346"
"Williamson, Brandon","682227","2023","491",20,7.9,".248",".311","4.46","1","2","45","1",".263",".321",".334",".325"
"Miller, Bryce","682243","2023","537",22.2,4.8,".248",".293","4.32","6","1","21","1",".270",".309",".337",".315"
"Uribe, Abner","682842","2023","127",30.7,15.7,".154",".291","1.76","4","0","4","0",".198",".238",".290",".334"
"Ortiz, Luis","682847","2023","400",14.8,12,".288",".372","4.78","5","0","8","2",".302",".356",".390",".386"
"Priester, Quinn","682990","2023","234",15.4,11.5,".290",".378","7.74","2","0","5","0",".297",".394",".376",".385"
"Gaddis, Hunter","683769","2023","182",13.2,7.7,".255",".324","4.50","3","0","7","0",".233",".331",".305",".306"
"Battenfield, Peyton","685410","2023","146",18.5,8.2,".256",".315","5.19","2","0","4","0",".281",".336",".373",".341"
"Sheehan, Emmet","686218","2023","248",25.8,10.5,".210",".294","4.92","4","0","6","0",".186",".307",".290",".277"
"Willingham, Amos","686294","2023","116",12.9,7.8,".337",".388","6.66","1","0","5","0",".303",".418",".389",".361"
"Waldichuk, Ken","686610","2023","639",20.7,11.1,".271",".360","5.36","7","3","46","1",".242",".361",".331",".337"
"Brown, Hunter","686613","2023","665",26.8,8.3,".262",".332","5.09","16","0","33","1",".240",".340",".318",".314"
"La Sorsa, Joe","686747","2023","145",19.3,6.2,".246",".324","4.41","4","0","10","0",".270",".304",".323",".346"
"Pepiot, Ryan","686752","2023","159",23.9,3.1,".179",".220","2.14","1","1","7","0",".225",".251",".279",".264"
"Jameson, Drey","686753","2023","174",21.3,10.3,".260",".339","3.32","0","0","1","0",".253",".330",".357",".334"
"White, Brendan","686839","2023","177",24.9,8.5,".258",".341","5.09","8","1","4","0",".252",".322",".326",".339"
"Varland, Louie","686973","2023","283",25.1,6,".252",".299","4.63","1","0","11","0",".248",".335",".328",".297"
"Kelly, Kevin","687330","2023","276",20.3,5.4,".211",".283","3.09","7","0","4","0",".233",".264",".282",".303"
"Headrick, Brent","687396","2023","117",25.6,8.5,".267",".350","6.31","0","0","1","0",".242",".383",".353",".332"
"Robertson, Nick","687798","2023","106",24.5,8.5,".316",".371","6.04","2","0","2","0",".265",".375",".328",".331"
"Walter, Brandon","687888","2023","106",15.1,6.6,".327",".377","6.26","1","0","3","0",".271",".375",".325",".326"
"Brieske, Beau","689225","2023","152",20.4,7.9,".259",".316","3.60","1","0","0","0",".252",".315",".305",".311"
"Dodd, Dylan","689266","2023","164",9.1,7.3,".351",".402","7.60","2","0","6","0",".330",".429",".423",".383"
"Harrison, Kyle","690986","2023","147",23.8,7.5,".221",".299","4.15","3","1","8","0",".238",".324",".327",".314"
"Pérez, Eury","691587","2023","374",28.9,8.3,".214",".282","3.15","11","0","10","0",".208",".303",".294",".279"
"Woo, Bryan","693433","2023","371",25.1,8.4,".227",".305","4.21","8","0","10","0",".219",".305",".288",".300"
"Elder, Bryce","693821","2023","732",17.5,8.6,".245",".316","3.81","9","0","31","0",".264",".309",".329",".335"
"Palencia, Daniel","694037","2023","119",27.7,11.8,".216",".322","4.45","1","0","3","0",".224",".303",".310",".330"
"Pfaadt, Brandon","694297","2023","421",22.3,6.2,".282",".329","5.72","8","0","36","0",".253",".362",".325",".303"
"Shuster, Jared","694363","2023","230",13,11.3,".264",".348","5.81","9","0","7","0",".270",".341",".354",".357"
"Stone, Gavin","694813","2023","152",14.5,8.6,".338",".401","9.00","2","0","6","0",".313",".423",".379",".379"
"Miller, Mason","695243","2023","139",27.3,11.5,".203",".309","3.78","1","0","10","0",".185",".280",".277",".299"
"Wicks, Jordan","696136","2023","147",16.3,7.5,".252",".306","4.41","2","0","4","0",".253",".317",".311",".310"
"Smith-Shawver, AJ","700363","2023","105",19,10.5,".183",".276","4.26","5","0","6","0",".206",".301",".301",".296"
"Hartwig, Grant","701643","2023","158",19,9.5,".250",".348","4.84","1","1","21","1",".246",".325",".319",".345"
