"last_name, first_name","player_id","year","pa","k_percent","bb_percent","batting_avg","on_base_percent","p_era","p_total_stolen_base","p_total_pickoff","p_total_pickoff_attempt","p_total_pickoff_error","xba","woba","xwoba","xobp"
"Doyle, Tommy","656382","2023","103",17.5,12.6,".256",".350","6.85","1","0","9","0",".281",".364",".366",".371"
"Faedo, Alex","656412","2023","262",22.1,7.6,".200",".263","4.45","2","0","14","0",".226",".287",".302",".287"
"Flaherty, Jack","656427","2023","650",22.8,10.2,".287",".370","4.99","4","0","31","0",".270",".356",".343",".358"
"Ginkel, Kevin","656464","2023","255",27.5,9.4,".181",".263","2.48","2","0","4","0",".201",".246",".274",".282"
"Hentges, Sam","656529","2023","223",25.1,8.1,".260",".318","3.61","6","0","10","0",".266",".292",".313",".325"
"Hoffman, Jeff","656546","2023","208",33.2,9.1,".158",".244","2.41","9","0","6","0",".188",".226",".247",".271"
"Houck, Tanner","656557","2023","463",21.4,8.9,".254",".328","5.01","4","0","8","0",".245",".323",".316",".321"
"Jackson, Andre","656578","2023","257",22.2,8.6,".225",".296","4.99","4","1","26","0",".270",".310",".352",".338"
"Keller, Mitch","656605","2023","825",25.5,6.7,".249",".308","4.21","12","1","27","1",".251",".310",".315",".313"
"Kopech, Michael","656629","2023","591",22.7,15.4,".238",".368","5.43","32","0","40","0",".240",".363",".363",".371"
"Lange, Alex","656638","2023","288",27.4,15.6,".185",".328","3.68","7","0","2","0",".206",".294",".305",".347"
"Megill, Trevor","656730","2023","148",35.1,8.1,".265",".324","3.63","12","0","7","0",".215",".309",".279",".283"
"Megill, Tylor","656731","2023","567",18.5,10.2,".282",".362","4.70","11","2","38","1",".283",".350",".365",".364"
"Montgomery, Jordan","656756","2023","777",21.4,6.2,".247",".295","3.20","14","1","17","0",".253",".298",".308",".303"
"Peterson, David","656849","2023","492",26,10.2,".287",".367","5.03","4","6","52","1",".263",".357",".340",".346"
"Rasmussen, Drew","656876","2023","177",26.6,6.2,".221",".273","2.62","3","0","4","0",".226",".253",".265",".278"
"Scott, Tanner","656945","2023","307",33.9,7.8,".191",".264","2.31","5","0","2","0",".205",".236",".246",".277"
"Smeltzer, Devin","656970","2023","100",16,4,".315",".370","6.45","0","0","2","0",".310",".413",".409",".365"
"Steele, Justin","657006","2023","716",24.6,5,".251",".295","3.06","8","1","11","0",".250",".291",".290",".295"
"Swanson, Erik","657024","2023","262",28.6,8,".217",".280","2.97","8","1","8","0",".199",".280",".271",".263"
"Thompson, Ryan","657044","2023","121",17.4,6.6,".185",".267","3.82","4","0","1","0",".198",".264",".278",".278"
"Toussaint, Touki","657053","2023","384",22.1,14.8,".223",".349","4.97","9","1","27","0",".252",".317",".352",".377"
"Webb, Jacob","657097","2023","232",24.6,12.9,".199",".316","3.69","3","0","11","0",".214",".294",".302",".330"
"Wright, Kyle","657140","2023","155",21.9,11,".303",".396","6.97","2","0","4","0",".258",".382",".352",".358"
"Merryweather, Julian","657240","2023","303",32.3,11.9,".219",".314","3.38","6","0","19","0",".211",".291",".298",".311"
"Strzelecki, Peter","657265","2023","163",22.7,7.4,".234",".327","4.38","9","0","5","0",".239",".303",".320",".332"
